frame,matchPeriod,team.name,player.id.wyscout,player.id.skillcorner,pass.recipient.id.wyscout,pass.recipient.id.skillcorner,location.x,location.y,pass.endLocation.x,pass.endLocation.y,play_direction,dxt,tracking.object_id,tracking.x,tracking.y,tracking.z,extrapolated,location.x_original,location.y_original,endLocation.x_original,endLocation.y_original,tracking.is_self,tracking.is_teammate,responsibility
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,31930,-1.44,-32.3,0.0,True,25,28,25,51,False,True,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,7387,-9.85,-4.68,0.0,True,25,28,25,51,False,True,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,-1,19.84,-4.83,0.14,False,32,50,30,17,False,False,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,7604,-37.26,-0.76,0.0,True,32,50,30,17,False,False,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,16320,-11.0,-9.46,0.0,True,32,50,30,17,False,False,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,11516,-11.11,-0.01,0.0,True,32,50,30,17,False,False,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,11630,-7.59,-22.05,0.0,False,32,50,30,17,False,False,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,11606,-11.03,12.36,0.0,False,32,50,30,17,False,False,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,12218,-4.42,-0.29,0.0,False,32,50,30,17,False,False,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,277,0.62,8.51,0.0,False,32,50,30,17,False,False,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,946,2.62,-8.29,0.0,False,32,50,30,17,False,False,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,5922,4.07,-20.43,0.0,False,32,50,30,17,False,False,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,6028,13.32,13.14,0.0,False,32,50,30,17,False,False,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,12190,16.31,-6.62,0.0,False,32,50,30,17,False,False,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,4777,40.53,-1.44,0.0,True,32,50,30,17,False,True,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,14407,20.52,-3.75,0.0,False,32,50,30,17,True,True,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,10738,21.36,-17.66,0.0,False,32,50,30,17,False,True,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,24466,11.34,26.03,0.0,False,32,50,30,17,False,True,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,7863,11.13,-29.7,0.0,False,32,50,30,17,False,True,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,33512,4.02,-6.59,0.0,False,32,50,30,17,False,True,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,7017,1.61,10.34,0.0,False,32,50,30,17,False,True,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,3837,-3.71,1.17,0.0,False,32,50,30,17,False,True,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,10082,-11.68,25.85,0.0,False,32,50,30,17,False,True,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,31930,-3.92,-26.71,0.0,False,32,50,30,17,False,True,0.0
199,1,Netherland,476361,14407,370,10738,19.058823529411768,0.0,21.176470588235293,-21.61684210526316,TOP_TO_BOTTOM,-0.0006161149672122999,7387,-11.32,-3.17,0.0,True,32,50,30,17,False,True,0.0
